,accuracy,auc,precision,recall,f1,mcc
logistic_regression,0.8473029045643153,0.8976122182901846,0.7322175732217573,0.5932203389830508,0.6554307116104869,0.5638389609596369
decision_tree,0.8,0.7301266530080089,0.5912162162162162,0.5932203389830508,0.5922165820642978,0.4597278605201619
knn,0.833195020746888,0.850249580927547,0.6942148760330579,0.5694915254237288,0.6256983240223464,0.5239435454525385
naive_bayes,0.35684647302904565,0.5946097969826784,0.27358490566037735,0.9830508474576272,0.4280442804428044,0.18092088584524718
random_forest,0.8381742738589212,0.8941460234680574,0.7083333333333334,0.576271186440678,0.6355140186915887,0.5376081410306152
xgboost,0.8489626556016597,0.9038442913019185,0.728744939271255,0.6101694915254238,0.6642066420664207,0.571485349844127
